date,IC4WSA
2001-06-30,395000.0
2001-07-07,392500.0
2001-07-14,395250.0
2001-07-21,399500.0
2001-07-28,398000.0
2001-08-04,398000.0
2001-08-11,395250.0
2001-08-18,396250.0
2001-08-25,398000.0
2001-09-01,398250.0
2001-09-08,401750.0
2001-09-15,400000.0
2001-09-22,414500.0
2001-09-29,443250.0
2001-10-06,460250.0
2001-10-13,482000.0
2001-10-20,489250.0
2001-10-27,480750.0
2001-11-03,471750.0
2001-11-10,458250.0
2001-11-17,445500.0
2001-11-24,447500.0
2001-12-01,453750.0
2001-12-08,445000.0
2001-12-15,434500.0
2001-12-22,415750.0
2001-12-29,404750.0
2002-01-05,405750.0
2002-01-12,413000.0
2002-01-19,410250.0
2002-01-26,408500.0
2002-02-02,410250.0
2002-02-09,405000.0
2002-02-16,403000.0
2002-02-23,399000.0
2002-03-02,396000.0
2002-03-09,396500.0
2002-03-16,395250.0
2002-03-23,399500.0
2002-03-30,421250.0
2002-04-06,432750.0
2002-04-13,445250.0
2002-04-20,445500.0
2002-04-27,429250.0
2002-05-04,420250.0
2002-05-11,413000.0
2002-05-18,411750.0
2002-05-25,409000.0
2002-06-01,401250.0
2002-06-08,395000.0
2002-06-15,391250.0
2002-06-22,387500.0
2002-06-29,389500.0
2002-07-06,390250.0
2002-07-13,387250.0
2002-07-20,385000.0
2002-07-27,386000.0
2002-08-03,385250.0
2002-08-10,386500.0
2002-08-17,391500.0
2002-08-24,393500.0
2002-08-31,395000.0
2002-09-07,401750.0
2002-09-14,405000.0
2002-09-21,405750.0
2002-09-28,409500.0
2002-10-05,406500.0
2002-10-12,404750.0
2002-10-19,407500.0
2002-10-26,407500.0
2002-11-02,407750.0
2002-11-09,406500.0
2002-11-16,400750.0
2002-11-23,396000.0
2002-11-30,389000.0
2002-12-07,395250.0
2002-12-14,405250.0
2002-12-21,406250.0
2002-12-28,414250.0
2003-01-04,406250.0
2003-01-11,393500.0
2003-01-18,395500.0
2003-01-25,395000.0
2003-02-01,400000.0
2003-02-08,403000.0
2003-02-15,407500.0
2003-02-22,411000.0
2003-03-01,416750.0
2003-03-08,425250.0
2003-03-15,427750.0
2003-03-22,425250.0
2003-03-29,425250.0
2003-04-05,423500.0
2003-04-12,424500.0
2003-04-19,434250.0
2003-04-26,436250.0
2003-05-03,439000.0
2003-05-10,434750.0
2003-05-17,428500.0
2003-05-24,422250.0
2003-05-31,423000.0
2003-06-07,426000.0
2003-06-14,425000.0
2003-06-21,422250.0
2003-06-28,421750.0
2003-07-05,422750.0
2003-07-12,420500.0
2003-07-19,419250.0
2003-07-26,411500.0
2003-08-02,403500.0
2003-08-09,401500.0
2003-08-16,400250.0
2003-08-23,398500.0
2003-08-30,400000.0
2003-09-06,404500.0
2003-09-13,403500.0
2003-09-20,400500.0
2003-09-27,395500.0
2003-10-04,386500.0
2003-10-11,382000.0
2003-10-18,384000.0
2003-10-25,382000.0
2003-11-01,376250.0
2003-11-08,375000.0
2003-11-15,370750.0
2003-11-22,364500.0
2003-11-29,363000.0
2003-12-06,362000.0
2003-12-13,360250.0
2003-12-20,360250.0
2003-12-27,358250.0
2004-01-03,355500.0
2004-01-10,353250.0
2004-01-17,355250.0
2004-01-24,356250.0
2004-01-31,361250.0
2004-02-07,367750.0
2004-02-14,366250.0
2004-02-21,367750.0
2004-02-28,360750.0
2004-03-06,351750.0
2004-03-13,347250.0
2004-03-20,344000.0
2004-03-27,342000.0
2004-04-03,339750.0
